Filename,Run Count,Last Run Date
"E:\阮焕\项目\K000483 (中车株洲电力机车研究所有限公司)\TKL161000002(CXT-010301569) 5P24S 加热膜 55.2V632W 925x333.5mm\实验\干烧\2026-06-05\video_20260605_100611.mp4",1,134283775497259404
"E:\阮焕\项目\K000483 (中车株洲电力机车研究所有限公司)\TKL162000002(CXT-010301570) 4P24S 加热膜 55.2V517W 742x333.5mm\实验\拉拔力\video_20260606_155226.mp4",1,134283775477528411
"E:\阮焕\项目\K000483 (中车株洲电力机车研究所有限公司)\TKL162000002(CXT-010301570) 4P24S 加热膜 55.2V517W 742x333.5mm\实验\高温、低温、双85\低温测试\video_20260617_134822.mp4",1,134283775455008990
"E:\阮焕\项目\K000483 (中车株洲电力机车研究所有限公司)\TKL162000002(CXT-010301570) 4P24S 加热膜 55.2V517W 742x333.5mm\实验\高温、低温、双85\双85测试\video_20260617_135241.mp4",1,134283775435862920
"E:\阮焕\项目\K000483 (中车株洲电力机车研究所有限公司)\TKL162000002(CXT-010301570) 4P24S 加热膜 55.2V517W 742x333.5mm\实验\盐雾测试\video_20260623_082825.mp4",1,134283775418078425
"E:\阮焕\项目\K000483 (中车株洲电力机车研究所有限公司)\TKL162000002(CXT-010301570) 4P24S 加热膜 55.2V517W 742x333.5mm\实验\干烧\2026-07-07\video_20260706_162718.mp4",1,134283775399256053
"\\User-20230521vs\G\阳帅工作文档\CAD\海目星\合肥A3、常州A6-C1加热组件 订单：主发热板：66套，辅助环氧发热板：72套\客供图纸\物料竞价_842603080938_FA1414-M21A-002-1200-00_1774406647984\FA1414-M21A-002-1210-00\Bom\FA1414-M21A-002-1210-01A_A.pdf",1,134283128542861392
"C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\FA1414-M21A-002-1260-01A_A.pdf.lnk",1,134283128416412104
"C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\FA1414-M21A-002-1250-01A_A.pdf.lnk",1,134283128369617148
"C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\FA1414-M21A-002-1240-01A_A.pdf.lnk",1,134283128325977451
"C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\FA1414-M21A-002-1230-01A_A.pdf.lnk",1,134283128283331940
"C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\FA1414-M21A-002-1220-01A_A.pdf.lnk",1,134283128232844237
"\\Desktop-osh296i\e\设备操作规范011\设备操作规范-17-1-4日新制定的版本(最新版)\2017-1-4日最新的机器设备操作规范\CXT-03-G009-气动热压机.doc",1,134282070431864144
"\\Desktop-osh296i\e\（王建忠）9月份copy\CAD-tuzhi\江西安驰新能源科技有限公司\AC进料检验作业标准书2019-5-23\设备操作规范-17-1-4日新制定的版本\2017-1-4日最新的机器设备操作规范\CXT-03-G009-气动热压机.doc",1,134282070407005408
"\\Desktop-osh296i\e\设备操作规范011\2016-8-19-2017-1-4日之间的版本\CXT-03-011-0016气动热压机20070515.doc",2,134282070331507313
"\\Desktop-osh296i\e\（王建忠）9月份copy\CAD-tuzhi\珠海保税区光联通讯技术有限公司\46295019ACG聚酰亚胺电热膜3.3V-10Ω-19.8-7.85MM",1,134282022621784264
"\\Desktop-osh296i\e\（王建忠）9月份copy\螺丝库",3,134281407504034618
"\\User-20230521vs\G\阳帅工作文档\CAD\时代高科\TFR260502T\生产\TFR260502T-10-02-00(CXT-050700332) 发热板组件 220V600W 1207x115x6mm.DWG",1,134281248933569326
"C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\甬金科技集团股份有限公司（发热丝新供应商-深圳市金特维金属科技有限公司）.lnk",1,134279719617738794
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\广东伯伦克新材料科技有限公司",1,134279676253991700
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\易宝(福建)高分子材料股份公司",1,134279676123406096
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\甬金科技集团股份有限公司（发热丝新供应商-深圳市金特维金属科技有限公司）",1,134279654915689919
"\\Desktop-osh296i\e\刁德升\1.图纸\华思旭（卡儿酷）\品管-黄工需要资料（ROHS2.0报告、清单和供应商调查表）2021.6.1\新雷欧SGS\纤维管红色ROHS.PDF",1,134279650842541374
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\厦门传琪高分子材料有限公司\传琪CR泡棉ROHS10项（中）.PDF",2,134279650537410465
"\\Desktop-osh296i\e\（王建忠）9月份copy\CAD-tuzhi\博科能源系统（深圳）有限公司\牟越 3款硅胶加热膜  供应商建档资料\迈尔盛-引线\硅胶 Rohs12项 红色 20231106.pdf",1,134279648054563257
"\\Desktop-osh296i\e\（王建忠）9月份copy\CAD-tuzhi\博科能源系统（深圳）有限公司\牟越 3款硅胶加热膜  供应商建档资料\屏挚-套管\玻纤管白色中文rohs2.0.pdf",1,134279647961725599
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\深圳三科精密带钢材料有限公司不锈钢卷料",2,134279637939686930
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\卓业鑫朗\55236 TDS.PDF",1,134279566129959082
"\\Desktop-osh296i\e\（王建忠）9月份copy\螺丝库\WJ-000300053 CM十字扁平头机螺钉M2×牙长2.0mm 螺距0.4mm.dwg",1,134278827677387595
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\胡连精密股份有限公司\最新版胡连端子图纸",1,134278634175475597
"E:\刁德升\3.模板\CAD图形样板\胡连端子母头.dwg",1,134278634126692029
"D:\Program Files\MiniMax Code\MiniMax Code.exe",1,134278613749910914
"\\Desktop-osh296i\e\（王建忠）9月份copy\工序流程图 & QC工程表\工艺流程图（记工时，定产能）\惠州亿纬锂能股份有限公司",1,134277958508961038
"\\Desktop-osh296i\e\（王建忠）9月份copy\样品承认书\圣恩迪",1,134277764891692921
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\东莞市乾威电气有限公司\力高\5557-2x1P(1).pdf",2,134277759989060415
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\浙江红星电业有限公司\力高\HX42000-R(5557-R)-模型.pdf",1,134277759963266337
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\东莞市乾威电气有限公司\力高\5557-T(B)高脚(方口)(1).pdf",1,134277759924787941
"E:\彭福明\56\图纸\山东淄博火炬\熊义设计 2P3S-9.6V404Ah加热片A-9.6V-110W-370-135mm-第一版\2P3S-9.6V404Ah加热片A-9.6V-110W-370-135mm-第一版\5557（5559）承认书.pdf",1,134277759544524077
"\\Desktop-osh296i\e\（王建忠）9月份copy\样品承认书\圣恩迪\4款不一样线长的 OT-M3 温度传感器10K B3435 1% 黑色双并线4413 22# 线长L\4款不一样线长的 OT-M3 温度传感器10K B3435 1% 黑色双并线4413 22# 线长L 样品承认书.doc",1,134277751343689585
"\\Desktop-osh296i\e\（王建忠）9月份copy\样品承认书\特金\CXT-703MY00029 点环温感\CXT-703MY00029 点环温感 样品承认书.doc",1,134277750924550787
"\\Desktop-osh296i\e\（王建忠）9月份copy\样品承认书\特金\CXT-703MY00037 点环温感\CXT-703MY00037 点环温感 样品承认书.doc",1,134277750739936945
"E:\彭福明\CAD-图纸\深伟业科技有限公司（东莞市辉环科技有限公司）\生产\CXT-010200499 64V30Ah pi加热膜A（40340000001）& CXT-010200500 64V30Ah pi加热膜B（40340000002）",1,134277724316267230
"\\Desktop-osh296i\e\（王建忠）9月份copy\CAD-tuzhi\苏州瀚川智能科技股份有限公司\生产\CXT-010500013 FCTF1-0102-03-18-发热板（图号：D00849916 & 料号：P990000021）项目号：DPM80202212015 220V-600W 670-300mm\CXT-010500013 FCTF1-0102-03-18-发热板（图号：D00849916 - 料号：P990000021）项目号：DPM80202212015 220V-600W 670-300mm 成品图（2）.dwg",1,134277723515911801
"E:\彭福明\CAD-图纸\苏州瀚川智能科技股份有限公司\生产\CXT-010500013 FCTF1-0102-03-18-发热板-A",1,134277723399750213
"\\User-20230521vs\G\阳帅工作文档\CAD\时代高科\TFS251204T（订单：135套+10套）\生产\WJ-001000079 双管夹片M型压线骑马卡28×10×内高4.6mm.dwg",1,134276170644933887
"\\User-20230521vs\G\阳帅工作文档\CAD\时代高科\TFR260502T\客供\项目260502T发热板组件",1,134276067325286162
"E:\阮焕\项目\K000444 (深圳市大星守正智能装备有限公司)\DH21-X10-100Z0(CXT-050700259) & DH31-X10-100Z1(CXT-050700309) 大发热板 1450x1380x8mm\生产\DH21-X10-002A0(CXT-3434-大 CXT-3435-小) & DH31-X10-002A1(CXT-3710-大 CXT-3711-小) 硅胶发热膜 220V10000W 1448.5x1378.5mm.dwg",1,134275999199392532
"E:\阮焕\项目\K000444 (深圳市大星守正智能装备有限公司)\DH09-X10-230Z0",1,134275225899200521
"\\Pc-20220516lkig\F\cxt-1\CAD-图纸\（王建忠）9月份copy\供应商（杂类）\广东伯伦克新材料科技有限公司",1,134251184545088909
"E:\阮焕\项目\K000483 (中车株洲电力机车研究所有限公司)\TKL161000001 5P24S 加热膜 55.2V632W 925x333.5mm\TKL161000001 5P24S 加热膜 55.2V632W 925x333.5mm.dwg",1,134250968100493338
"\\User-20230521vs\G\阳帅工作文档\CAD\K000441 (江西速波赛)",1,134245793192667198
"\\User-20230521vs\G\阳帅工作文档\CAD\海目星\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\FA1410-M21A-018-1200-00B(CXT-050700318) 发热板 220V44.78kW 2942x2564mm\生产\CXT-3828 菲林图.dwg",2,134245066090661160
"\\User-20230521vs\G\阳帅工作文档\CAD\深圳市大族贝金装备有限公司\NHF260025\客供\2026-05-16\NHF260025-440301-002A 底部发热板上板.step",1,134244877601724460
"C:\Users\Administrator\Documents\WeChat Files\wxid_h03zao1jgggc22\FileStorage\File\2024-09\3512-8规格书.pdf",1,134244868232539275
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\迈尔盛\3512-10#规格书(1).pdf",3,134244277580989392
"\\Desktop-osh296i\e\（王建忠）9月份copy\供应商（杂类）\迈尔盛\3512-12#规格书.pdf",4,134244277558178598
"\\Desktop-osh296i\e\（王建忠）9月份copy\螺丝库\GB╱T 70.2-2008[内六角平圆头螺钉M4×8]（编码：WJ-000300039）.DWG",1,134243568780925590
"\\Desktop-osh296i\e\（王建忠）9月份copy\螺丝库\GB╱T 70.2-2008[内六角平圆头螺钉M4×10]（编码：WJ-000300033）.DWG",2,134243568623637697
"\\User-20230521vs\G\阳帅工作文档\CAD\海目星\2025-中国眉山-C5+装配线+项目发热组件 订单数量：主发热板11套，辅助环氧板发热板12套（在中航C9 C10产线项目上增加孔位）\生产\WJ-000700003 固定双条6mm线夹（ET-006）固定外径6mm导线.dwg",2,134243568369165822
"C:\Users\Administrator\xwechat_files\wxid_dqrhe3soaxsh22_5e85\msg\file\2026-02\CXT-3592 菲林图.dwg",1,134243366204608977
"\\User-20230521vs\G\阳帅工作文档\CAD\深圳市大族贝金装备有限公司\NHF260025\客供\2026-03-26\NHF260025-440301-002A 底部发热板上板.log",1,134243340148215696
"\\User-20230521vs\G\阳帅工作文档\CAD\深圳市大族贝金装备有限公司\NHF260029(380套)\生产\NHF260029-440401-001A 侧发热膜(CXT-3697-长 CXT-3698-长 CXT-3708短 CXT-3709短) 220V1450W 1505x148mm 808x148mm.dwg",1,134243137163828519
"\\User-20230521vs\G\阳帅工作文档\CAD\海目星\FA1410-M21A-018-1200-00B 2026 中国邯郸 C3装配线预热炉用加热板\FA1410-M21A-018-1200-00B(CXT-050700318) 发热板 220V44.78kW 2942x2564mm\生产\邯郸C3 2026-04-14.xlsx",4,134242335599482354
